false_index,ra_deg,dec_deg,dx_arcsec,dy_arcsec,peak_snr
76,150.11707721852233,2.37026124411047,-1.1102230246251565e-16,-1.1102230246251565e-16,2.6569264819160576
77,150.12077272327474,2.3718835930712427,-0.20000000000000007,0.3999999999999998,4.199674792206732
78,150.12072705627,2.372342710092872,-1.1102230246251565e-16,-1.1102230246251565e-16,4.939880296914746
79,150.11873238736956,2.372916266225349,-0.20000000000000007,-1.1102230246251565e-16,5.562416851090834
80,150.12091163087226,2.370813152369869,-0.10000000000000009,-0.4,2.6281899696271713
81,150.11911115902146,2.372721767528516,-1.1102230246251565e-16,0.19999999999999984,3.7663427767453443
82,150.1172971512107,2.370535092954819,-0.30000000000000004,0.09999999999999987,3.4495312988821007
83,150.1175658582074,2.3728321227920355,-1.1102230246251565e-16,0.3999999999999998,5.291846158691847
84,150.120645819154,2.3720937867099945,0.19999999999999984,-1.1102230246251565e-16,4.7536966390752795
85,150.11730850872752,2.3715539356087225,-1.1102230246251565e-16,-1.1102230246251565e-16,3.913505503258403
86,150.12106153090025,2.371214747031758,0.2999999999999998,-0.30000000000000004,3.6090852818425727
87,150.11954505751876,2.3695106325916715,0.09999999999999987,-0.10000000000000009,3.002174510904232
88,150.1205159241116,2.373233466153489,-0.10000000000000009,0.3999999999999998,4.282874984030849
89,150.12031031775263,2.3725763745631063,-0.30000000000000004,0.2999999999999998,3.449448265929636
90,150.11739543203004,2.368987950817419,-0.4,-0.20000000000000007,3.5954033702122326
91,150.11781065220777,2.368886793989609,-0.10000000000000009,0.19999999999999984,4.044255342056836
92,150.11810419760658,2.36954622971693,-0.20000000000000007,-0.20000000000000007,4.205140059312999
93,150.11690107288726,2.37165268145275,-0.30000000000000004,0.2999999999999998,1.1229147301302485
94,150.11756485185597,2.369319519260022,-1.1102230246251565e-16,0.09999999999999987,3.7014971724994203
95,150.11917272108013,2.36929149742657,-1.1102230246251565e-16,-0.30000000000000004,3.0579234178696395
96,150.1217433851906,2.36966695380803,0.19999999999999984,0.3999999999999998,3.510038024453671
97,150.11795576694425,2.3732401562634218,-0.10000000000000009,-0.30000000000000004,3.8586549683462645
