ID,grating,z_dja,z_sys,z_sys_err,z_sys_snr,z_sys_quality,in_muse,edge,duplicate,AO_block,ra,dec
42751,G235H,3.1834,3.184537811382972,1.833526303364173e-05,320.21268993946256,a,1,0,0,0,150.13917181,2.34531086
43604,G235M,3.0017,3.0026473378211547,0.0001565294105892,48.2076752843826,a,1,0,2,0,150.10372593,2.34859301
43713,G235M,3.0017,3.0026473378211547,0.0001565294105892,48.2076752843826,a,1,0,2,0,150.10372593,2.34859301
44980,G395H,5.2545,5.256126889924292,0.000161015077691,61.96920452823488,a,1,0,0,0,150.07850493,2.35235787
45677,G235H,3.7535,3.754906389376436,2.0365067741070243e-05,306.9002933816503,a,1,0,0,0,150.14141937,2.35503687
45963,G395H,5.5168,5.518194894913958,0.0001027554687987,92.65278554946494,a,1,0,0,0,150.08892598,2.35588338
46212,G235H,3.3726,3.37388307430417,3.873109752127111e-05,232.52935605531212,a,1,0,0,0,150.15073975,2.35677657
46887,G235H,3.3249,,,,d,1,0,0,0,150.0864819,2.359282
46979,G235H,3.4601,3.4614588551795977,2.9228237109280546e-05,238.30312786257272,a,1,0,0,0,150.16877319,2.35900233
47137,G235H,4.0384,,,,d,1,0,0,0,150.13685254,2.35927325
47218,G235H,4.3907,4.391688730551099,7.29197288527793e-05,42.42474059412324,a,1,0,0,0,150.12890046,2.36006372
47283,G235H,3.7543,3.7556398181133535,5.426709278322896e-05,110.785938755298,a,1,0,0,0,150.13493486,2.36036375
47549,G235M,3.2311,3.231870179898798,7.916418236246229e-05,77.94877812445543,a,1,0,0,0,150.09685526,2.36080843
47664,G235M,3.5182,3.519489986483696,5.6957250207090605e-05,724.9760775798526,a,1,0,0,0,150.13168715,2.36180535
47750,G235H,2.9874,2.988601484137201,1.210815772871726e-05,786.549843061541,a,1,0,0,0,150.12949332,2.36170198
48086,G235H,3.1601,3.199436984326499,0.031349079404045,1.3047000006618974,c,1,0,0,0,150.08945162,2.36263139
48121,G235M,4.5155,4.517360727949767,0.0001488860668692,48.76769002424152,a,1,0,0,0,150.08045276,2.36277555
48256,G235H,3.4833,3.4844627131972983,3.479354846268039e-05,113.3761854840682,b,1,0,0,0,150.12636853,2.36323366
48586,G235H,3.4584,3.4596043884078185,6.598362804173489e-05,78.7754987579076,a,1,0,0,0,150.17813124,2.36380974
48688,G235H,4.387,4.388786720901873,6.251263479347733e-05,67.69300376426644,a,1,0,0,0,150.12781542,2.36512953
48744,G235H,3.4562,3.4573448216184914,4.0351298783084896e-05,131.9836035140444,a,1,0,0,0,150.17846193,2.36498038
49289,G235H,3.756,3.7572416830020936,2.545421646777606e-05,243.9711163689406,a,1,0,4,0,150.130085,2.36714937
49296,G235H,3.756,3.7572416830020936,2.545421646777606e-05,243.9711163689406,a,1,0,4,0,150.130085,2.36714937
49726,G235H,3.1699,3.1711728991265264,7.590172737385874e-05,44.808907072430856,a,1,0,0,0,150.17375136,2.36802878
49902,G235H,2.9606,2.9618321363582,2.074018741653523e-05,351.9618689446096,a,1,0,0,0,150.1401912,2.3688509
49939,G235H,3.7488,3.750372266997093,0.000196438673155,15.62765446040448,b,1,0,0,0,150.15163784,2.3685633
50751,G235H,3.1588,3.159992468663634,4.534184821596724e-05,98.92988167647157,a,1,0,0,0,150.13823243,2.37150222
50966,G235M,3.7145,3.715756172445461,4.681425092102902e-05,176.58521429499203,a,1,0,0,0,150.13748242,2.37177286
50970,G235H,3.0646,3.0655103966160846,9.134226415702104e-05,40.233538663907474,a,1,0,0,0,150.1869405,2.37225654
51240,G235H,3.7177,3.7190006042280377,8.57677311989299e-05,95.71856475812709,a,1,0,0,0,150.11930817,2.37263394
51579,G235H,4.5219,4.522096513814507,3.283737188762243e-05,156.67946093020075,a,1,0,0,0,150.10867511,2.37438616
52096,G235H,3.5402,3.541388778863777,3.7800855038501696e-05,182.887285341014,a,0,0,0,0,150.11244931,2.40521711
53792,G235H,3.2975,3.2986394418425613,2.946723160854316e-05,148.0020951134113,a,0,0,0,0,150.1042992,2.4005482
53892,G235M,3.6317,3.6328490294062137,6.082616021228054e-05,353.63052346058265,a,0,0,0,0,150.11125223,2.39764132
53947,G235M,3.5347,3.5359099966434178,0.000120503908734,115.22642633959792,a,1,2,0,0,150.10065358,2.39749726
54619,G235H,3.5334,3.534814878256964,6.08658561059752e-05,97.73323751066133,a,0,0,0,0,150.08799821,2.39507315
58782,G395H,4.9299,4.932169816765184,0.0007139142255462,6.334017094195016,c,1,0,0,0,150.18008,2.37831
59457,G235H,2.9907,2.9917631655753545,2.323069945714744e-05,306.95217595586644,a,1,0,0,0,150.13199753,2.37572923
70850,G235H,3.1872,3.1882568718281954,2.245428563352276e-05,170.96803518379562,a,0,0,0,0,150.1316672,2.41095921
71380,G235H,3.0399,3.040884311204329,6.657090298644908e-05,45.99186324563701,a,0,0,0,0,150.11484254,2.40937636
15748,G235M,5.5206,5.522639188529189,5.049910620984212e-05,417.4944105975211,a,1,0,0,0,150.14800788,2.25321232
16853,G235M,5.8612,5.862264361055884,0.0020141483227453,14.246038319356902,a,1,0,0,0,150.12717624,2.25733562
17086,G395M,5.5028,5.505161822211587,5.143555743487495e-05,489.9656488212775,a,1,0,0,0,150.14564003,2.25852728
