ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Ha_G235M,z_Ha_G235M_err,z_Ha_G235M_snr,z_Ha_G235H,z_Ha_G235H_err,z_Ha_G235H_snr,z_Ha_G395M,z_Ha_G395M_err,z_Ha_G395M_snr,z_Ha_G395H,z_Ha_G395H_err,z_Ha_G395H_snr
47218,,4.3907,,4.3904,,,,,,,,,,4.3905566304436014,0.00023558287443053126,19.28915418621548
47283,,3.7543,,3.7543,,,,,,,,,,3.7543406424224717,0.00011585400925162153,27.53742662773121
47549,3.2311,3.2319,3.2316,3.2319,,,,3.231895632919767,4.215589204194437e-05,303.0950935344742,3.2315498474059545,0.00025624998527524616,34.05375038211481,,,
47664,3.5182,3.5179,3.5182,,3.518266472333128,4.233749193920306e-05,218.8320019916937,3.5181524974408296,3.301117801884317e-05,218.1690380224256,3.51817887598183,6.339860837467975e-05,126.54517457433768,,,
47736,2.9861,,2.9856,,2.985752175352965,3.636122790013176e-05,162.30713156653675,,,,,,,,,
47750,2.9869,2.9874,2.9875,,2.9871787848735427,1.2179158708324048e-05,357.05464926426805,2.987486560364225,2.4256483132486908e-05,493.70765980568683,,,,,,
48086,,3.1601,,,,,,3.15968134676155,0.00015013904888599492,14.625530300848327,,,,,,
48121,4.5155,4.5094,,,4.515921138869523,9.823916093353415e-05,42.88149336654348,,,,,,,,,
48146,3.1552,,,,3.155164927490425,0.00017237246395529273,58.98607201599795,,,,,,,,,
48256,,3.4833,,3.483,,,,3.4832853808690185,4.072679211843114e-05,86.44187772707288,,,,3.4830482518530212,0.00045862710388570844,6.915745201013245
48525,3.9374,,,,3.936883890964472,0.00014789611383725747,46.060739182250586,,,,,,,,,
48586,,3.4584,,,,,,,,,,,,,,
48648,3.417,,,,3.416985978060329,6.767301995721469e-05,62.10189631211392,,,,,,,,,
48688,,4.387,,4.3877,,,,,,,,,,4.387535869221133,0.000115568236839609,32.41090661366228
48744,,3.4562,,3.4562,,,,,,,,,,,,
49289,,3.756,,,,,,,,,,,,,,
49296,,3.756,,,,,,,,,,,,,,
49482,3.4182,,,,3.4176143917990016,0.00019277360301223772,40.433051180248924,,,,,,,,,
49540,3.5651,,,,3.5648687486500403,0.00010346892227393336,27.554757515261535,,,,,,,,,
49694,3.4182,,,,3.4176143917990016,0.00019277360301223772,40.433051180248924,,,,,,,,,
49726,,3.1699,,,,,,,,,,,,,,
49902,2.9612,2.9606,2.9607,,2.9610191423008247,6.56724410182596e-05,45.981845188237465,2.9607293930945797,1.1315840083885791e-05,272.249455854196,,,,,,
49939,,3.7488,,,,,,,,,,,,,,
50654,3.4621,,,,3.4614323035365535,0.00011893794040458576,21.770372938662927,,,,,,,,,
50751,3.1591,3.1588,,,3.158923066466178,0.00012342054475528497,17.97388903637852,3.1589038716066744,3.7633707185218775e-05,53.86855325893596,,,,,,
50966,3.7145,3.7141,3.7138,,3.714337164917257,7.098312332126e-05,75.53507082532951,,,,3.71367686127979,3.8583767462112104e-05,60.62327094870251,,,
50970,,3.0646,,,,,,,,,,,,,,
51240,,3.7177,,3.7177,,,,,,,,,,3.717815100848788,6.245867018983176e-05,54.02977519153046
51579,,4.5219,,4.52,,,,,,,,,,4.520456299481968,8.750246118811091e-05,52.471731521016
52096,,3.5402,,3.5399,,,,,,,,,,3.5399401222661426,7.380828876079895e-05,32.230899515088915
53792,,3.2975,,,,,,,,,,,,,,
53892,3.6317,3.631,,3.631,3.631279556736768,5.397969607790207e-05,158.98182715187227,,,,,,,3.6310350748894873,4.8819336449870685e-05,26.14632907714468
53947,3.5347,3.534,,3.534,3.5345478828708057,7.457415200250498e-05,52.46886343330408,,,,,,,3.533752497787982,0.0006026855959478389,7.540952092655079
54193,3.5345,,,,3.5345153193041963,5.7915523980523565e-05,124.95837850116195,,,,,,,,,
54521,3.4164,,,,3.4162887331948806,0.0002805106742099506,12.690337070208297,,,,,,,,,
54619,3.5326,3.5334,3.5326,,3.532579873170328,0.00010086409367273502,115.3283445697903,,,,3.532294723596067,0.000133707153355534,91.69462458672216,,,
54969,5.8642,,5.8642,,,,,,,,5.8644055760782186,0.00030215145719406046,44.672792179035866,,,
55418,3.8395,,,,3.839753528434775,4.4980276915760294e-05,65.1535791977319,,,,,,,,,
56591,3.7526,,,,3.7518491209079796,0.00014525686009437164,13.731295921146561,,,,,,,,,
57111,3.7576,,,,3.7575535199489574,0.00017188335894983278,77.11398563436185,,,,,,,,,
57248,3.7214,,,,3.721368638132998,0.00019325477754385877,30.33791848211155,,,,,,,,,
58782,,4.9323,,4.9299,,,,,,,,,,4.930108231703966,0.0006796847410384421,9.752730930688271
59457,2.9905,2.9907,2.9911,,2.9907063817999933,5.039854045238956e-05,215.53456686786018,2.9904903559754112,4.8836849904303014e-05,205.94300205751975,,,,,,
59737,3.4173,,3.4161,,3.4172029157829114,3.231823318023311e-05,175.5878759644605,,,,3.41619023861041,5.9055743606305013e-05,99.25242564180135,,,
70850,3.1881,3.1872,3.1881,,3.187658181602659,7.585101524205431e-05,44.711427272055296,,,,3.188187021539341,0.0027437743765093537,5.476632514686116,,,
71380,3.0398,3.0399,3.0409,3.038,3.039404694834479,0.00027416876309990627,13.013572821049673,,,,,,,,,
