ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Hbeta_G235M,z_Hbeta_G235M_err,z_Hbeta_G235M_snr,z_Hbeta_G235H,z_Hbeta_G235H_err,z_Hbeta_G235H_snr,z_Hbeta_G395M,z_Hbeta_G395M_err,z_Hbeta_G395M_snr,z_Hbeta_G395H,z_Hbeta_G395H_err,z_Hbeta_G395H_snr
53947,3.5347,3.534,,3.534,3.5346808804661567,0.00022935350359705158,19.071210134301143,3.532542994714003,0.0002520488905274416,8.22676013949745,,,,,,
54193,3.5345,,,,3.534473390525184,0.00010195176173035701,30.959506718585747,,,,,,,,,
54521,3.4164,,,,3.414658868374344,0.0006629577629118663,8.052515899916749,,,,,,,,,
54619,3.5326,3.5334,3.5326,,3.5321501805715023,0.00021905452848335513,18.10959063691448,3.5333267590007846,0.00014952916995416123,27.046293810638765,,,,,,
54969,5.8642,,5.8642,,5.865334789012064,0.0002583555111552192,15.61566622159966,,,,,,,,,
55418,3.8395,,,,3.839672802542202,0.00031475498204690033,22.168358538796337,,,,,,,,,
56591,3.7526,,,,3.7531317621137843,9.855247273982553,1.46798453833626,,,,,,,,,
57111,3.7576,,,,3.7575466970426756,0.0001728627755055919,41.77797720665518,,,,,,,,,
57248,3.7214,,,,3.7210526301656115,0.0004970484824320166,12.679570448282863,,,,,,,,,
58782,,4.9323,,4.9299,,,,,,,,,,4.930124234691306,0.002666434840419207,5.257402339908681
59457,2.9905,2.9907,2.9911,,2.9903344870425794,0.0001785980341165928,29.400759473651416,2.9905748163328836,4.349145021608875e-05,73.83274557438361,,,,,,
59737,3.4173,,3.4161,,,,,,,,,,,,,
70850,3.1881,3.1872,3.1881,,3.1878725488610913,0.0002654640472440108,11.47944121386827,3.187255064837732,0.00010871455441042621,27.948981801232677,,,,,,
71380,3.0398,3.0399,3.0409,3.038,3.0469071478044274,0.0015885963820034368,13.023727884630619,3.0396524423310627,0.0005138468406376675,5.063064495866946,,,,,,
