ID,z_G235M,z_G235H,z_G395M,z_G395H,z_OIII_G235M,z_OIII_G235M_err,z_OIII_G235M_snr,z_OIII_G235M_method,z_OIII_G235M_cont_side,z_OIII_G235H,z_OIII_G235H_err,z_OIII_G235H_snr,z_OIII_G235H_method,z_OIII_G235H_cont_side,z_OIII_G395M,z_OIII_G395M_err,z_OIII_G395M_snr,z_OIII_G395M_method,z_OIII_G395M_cont_side,z_OIII_G395H,z_OIII_G395H_err,z_OIII_G395H_snr,z_OIII_G395H_method,z_OIII_G395H_cont_side
50966,3.7145,3.7141,3.7138,,3.7157561724454613,4.681425092102902e-05,176.58521429499203,joint_4959_5007,both,3.715599357484775,6.752547029885664e-05,118.01010493095859,joint_4959_5007,both,,,,,,,,,,
50970,,3.0646,,,,,,,,3.0655103966160846,9.134226415702105e-05,40.233538663907474,joint_4959_5007,both,,,,,,,,,,
51240,,3.7177,,3.7177,,,,,,3.7190006042280377,8.57677311989299e-05,95.71856475812707,joint_4959_5007,both,,,,,,,,,,
51579,,4.5219,,4.52,,,,,,4.522096513814507,3.283737188762243e-05,156.67946093020075,joint_4959_5007,both,,,,,,,,,,
52096,,3.5402,,3.5399,,,,,,3.5413887788637766,3.7800855038501696e-05,182.88728534101398,joint_4959_5007,both,,,,,,,,,,
53792,,3.2975,,,,,,,,3.2986394418425613,2.946723160854316e-05,148.0020951134113,joint_4959_5007,both,,,,,,,,,,
53892,3.6317,3.631,,3.631,3.6328490294062137,6.082616021228054e-05,353.63052346058265,joint_4959_5007,both,3.6321647234819343,5.570161456989133e-05,95.4192593093507,joint_4959_5007,both,,,,,,,,,,
53947,3.5347,3.534,,3.534,3.5359099966434178,0.00012050390873408712,115.22642633959791,joint_4959_5007,both,3.5354948251633367,0.00013669900834341377,32.14521018409005,joint_4959_5007,both,,,,,,,,,,
54193,3.5345,,,,3.5357192266194497,5.647029245177305e-05,252.20945852449836,joint_4959_5007,both,,,,,,,,,,,,,,,
54521,3.4164,,,,3.417666420185612,0.0002080163662328575,23.062243147224823,joint_4959_5007,both,,,,,,,,,,,,,,,
54619,3.5326,3.5334,3.5326,,3.5340993067396136,0.00022063209860295144,37.05228362760655,joint_4959_5007,both,3.534814878256964,6.0865856105975195e-05,97.73323751066133,joint_4959_5007,both,,,,,,,,,,
54969,5.8642,,5.8642,,5.866413724150755,0.00014510915628941946,143.20436359010722,joint_4959_5007,both,,,,,,,,,,,,,,,
55418,3.8395,,,,3.840589475929619,3.821846593492806e-05,199.240336536008,joint_4959_5007,both,,,,,,,,,,,,,,,
56591,3.7526,,,,3.7533808216777382,0.0003308900440701935,14.252713575133884,joint_4959_5007,both,,,,,,,,,,,,,,,
57111,3.7576,,,,3.7588987311907305,0.0001219470908592844,171.44678186306024,joint_4959_5007,both,,,,,,,,,,,,,,,
57248,3.7214,,,,3.7231012968112562,0.00015688847687216984,71.19107236177045,joint_4959_5007,both,,,,,,,,,,,,,,,
58782,,4.9323,,4.9299,,,,,,,,,,,,,,,,4.9321698167651835,0.0007139142255462526,6.334017094195016,joint_4959_5007,both
59457,2.9905,2.9907,2.9911,,2.991417042488175,2.589407920382834e-05,120.65298030220235,joint_4959_5007,both,2.9917631655753545,2.3230699457147437e-05,306.95217595586644,joint_4959_5007,both,,,,,,,,,,
59737,3.4173,,3.4161,,,,,,,,,,,,,,,,,,,,,
70850,3.1881,3.1872,3.1881,,3.1894755999891773,9.150774922315772e-05,98.25051950513847,joint_4959_5007,both,3.1882568718281954,2.2454285633522757e-05,170.96803518379562,joint_4959_5007,both,,,,,,,,,,
71380,3.0398,3.0399,3.0409,3.038,3.041851542439465,0.00022811814912886732,22.752318511148186,joint_4959_5007,both,3.040884311204329,6.657090298644908e-05,45.99186324563701,joint_4959_5007,both,,,,,,,,,,
