ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,dv_err_group
43713,150.1036425266078,2.3485374544444446,3.0026473378211547,z_sys,3.0061898164466223,265.3264914214276,3.766799288729469,0,1,ok,4865.898289169043,4870.204774159665,4870.061,182.1296879508465,48.2610791920844,6.589621494199491,405.7551060076439,0.7589042253015055,4868.746679428064,3.2215032219200714,True,500.0,500.0,4870.204774159665,1.2425878701854207,0.0010221424154461,76.55697874184042,11.723824956153118,77.44946136469333,55.37679702913078,167.5833192337116,0.614,0.012,0.0,1
44361,150.07672123,2.350948707777778,5.132260396411653,z_sys,5.131120425108539,-55.73064040303503,15.347033798550598,1,1,ok,7454.804996105755,7453.419167191698,7455.061,398.7370644664844,23.95465632278578,4.42220033463127,177.8987391064907,5.875807673282744,7452.229930049914,3.522784688881901,True,500.0,500.0,7453.419167191698,0.2052873451791869,0.0001688676574886,8.255561056219722,4.635471879154642,9.46794000273582,24.257224906162524,13.479680735852003,0.242,0.0,0.0,1
44980,150.07847712879428,2.352441203333333,5.256126889924292,z_sys,5.257311161645245,56.75008458290127,6.142586581025192,1,0,skew_pinned,7605.385776274264,7606.8254598772755,7610.061,416.9476690400946,59.01304047281921,8.236563169557485,324.6906807464974,7.999999999999979,7604.959626179682,6.722044105114167,True,500.0,500.0,7606.8254598772755,1.044272219198458,0.0008590096154371,41.16358388962422,7.715813116544701,41.88047767979221,59.427754031049375,69.41319352774046,0.524,0.0,0.0,1
45004,150.07851878758936,2.352448581111111,5.254917580157724,z_sys,5.25760576305857,128.84213885640875,5.957940172988147,1,0,skew_pinned,7603.915654670342,7607.183597977412,7610.061,438.4330945914333,62.915982120089545,10.039827015482842,395.7791358290494,7.99999999934014,7604.909269816762,8.193728211207654,True,500.0,500.0,7607.183597977412,1.2656575281155436,0.0010411193235956,49.89989349854419,5.962450940646034,50.2548524262649,65.7592487492071,79.08344960038738,0.586,0.0,0.0,1
45443,150.1217307550671,2.3536541466666665,3.3314385002049782,z_sys,3.330142528045532,-89.6983021140733,4.705459261184913,0,1,ok,5265.599841544186,5264.0243670691125,5266.061,203.13710699823983,40.52016384234683,7.8281617864086,445.9855888654369,7.045443175816348,5262.1069428258825,6.337007891467038,True,500.0,500.0,5264.0243670691125,1.1570160084432135,0.0009517517158794,65.87372446722394,4.030078043049315,65.99688707974647,42.37376066227344,134.2149220466134,0.562,0.002,0.0,1
45547,150.14623671,2.3543245244444444,4.4805,z_dja,4.482306895269812,98.84017412377044,15.534694532601272,1,1,ok,6662.479435,6664.676023372652,6667.061,604.4645349664747,36.883313973089365,8.444652859337111,380.0013600907884,4.823989005097574,6662.19520122915,6.570071358850111,True,500.0,500.0,6664.676023372652,0.4776768462087761,0.0003929329885649,21.49408748675814,,21.49408748675814,36.094711938807386,28.74150391357635,0.114,0.0,0.0,1
45677,150.1413637674817,2.35503687,3.754906389376436,z_sys,3.7568997840968494,125.68169676955218,5.246657225870278,1,0,skew_pinned,5780.397050373253,5782.820360533018,5785.061,142.45740966416767,25.98535333512381,4.5112394039151695,233.91260810453767,7.99999999993843,5781.798426708866,3.681723750256667,True,500.0,500.0,5782.820360533018,0.5809451639416173,0.0004778806451928,30.12993348787768,1.2839987195273914,30.15728012761895,25.74050983654273,57.549899908413416,0.628,0.002,0.0,1
45963,150.0888703774479,2.355855602222222,5.518194894913958,z_sys,5.546606047325802,1306.719015536827,3.3959374028523097,0,0,dv_out_of_band,7923.973987900052,7958.512573552558,7955.061,107.32400910769688,39.71417651241328,11.915786722051052,448.8613493359,0.000361927808948,7958.499870155199,5.080088603569662,True,500.0,500.0,7958.512573552558,2.6356953391638798,0.0021681009971158,99.71784176395124,4.726049935717858,99.8297726835803,40.90291865099108,210.73199816740723,0.65,0.012,0.006,1
46008,150.12406824617432,2.355897825555556,4.4088,z_dja,4.417174981543788,464.1983994077573,3.644271243822777,0,0,skew_pinned,6575.315896000001,6585.4971098133365,6587.061,87.55103002558853,21.01247248033445,4.278298900833761,194.7902346865048,7.999999999999531,6584.527944143963,3.4916157764154305,True,500.0,500.0,6585.4971098133365,0.7157601018076786,0.0005887782883575,32.63409449115449,,32.63409449115449,20.851079553628185,67.07727236925216,0.646,0.01,0.0,1
46091,150.11776606746682,2.35541026,3.1888448013842874,z_sys,3.2023965540363326,969.8886997250536,4.097456047535478,0,1,ok,5092.252959698837,5108.727418845348,5109.061,183.97464280878293,45.451635518048576,7.170175226186984,420.94686630969056,1.383859093886567,5106.4982956016775,4.107955691908269,True,500.0,500.0,5108.727418845348,1.3549872886766072,0.0011146012393796,79.77116868427129,12.774881370214253,80.78760392088326,49.22031416021304,151.53969425690042,0.566,0.01,0.0,1
46212,150.15076755129388,2.35677657,3.37388307430417,z_sys,3.373588597933576,-20.18384887376117,33.515138613622895,1,1,ok,5317.19843693935,5316.840450849911,5319.061,1946.5962069222408,55.2632514083875,8.197743591746985,462.4440885714064,4.66288018582833,5314.419109595978,6.328721355867506,True,500.0,500.0,5316.840450849911,0.2341217668564192,0.0001925866122026,13.200173134330104,2.654687089180312,13.46446932922909,56.58604464436941,15.762553018036815,0.002,0.0,0.0,1
46887,150.0864819,2.359282,3.3249,z_dja,3.326791095893496,131.08656529049026,34.584149361955085,1,1,ok,5257.651183,5259.950131544846,5261.061,1439.5155529191234,38.04701492840768,5.292427935546584,301.7379811126856,4.234593186632403,5258.303822854972,4.039011319513555,True,500.0,500.0,5259.950131544846,0.1466196869421082,0.0001206081312709,8.360287666418424,,8.360287666418424,36.93483825886061,9.464438026509322,0.0,0.0,0.0,1
46979,150.16880099133834,2.3589189966666666,3.4614588551795977,z_sys,3.4627689482605186,88.033093588231,23.50417053810447,1,1,ok,5423.661686476182,5425.254327331865,5426.061,806.2105364525552,33.30352131327619,6.585829237408689,364.07094526252007,1.7604964179181806,5423.06921423612,4.064310358086008,True,500.0,500.0,5425.254327331865,0.2478594880420899,0.0002038871470399,13.7004130150746,1.964022381563641,13.840473283053164,34.124070527083845,18.020662202143075,0.034,0.0,0.0,1
47137,150.13685254,2.35927325,4.0384,z_dja,4.041292431973434,172.10409870466378,61.37322038770971,1,1,ok,6125.031728000001,6128.547970777146,6130.061,2662.429180353108,41.26169732069809,7.424695579574291,363.3149601548714,5.804293614664374,6126.5512896949895,5.9146130722546415,True,500.0,500.0,6128.547970777146,0.1218358407836213,0.0001002211461857,5.963310526873812,,5.963310526873812,40.53291325115,6.655335804394783,0.0,0.0,0.0,1
47218,150.12884485728088,2.360174831111111,4.391688730551099,z_sys,4.403088727806512,633.8706422401874,3.4520984384402054,0,0,skew_pinned,6554.514239069055,6568.372873732543,6570.061,117.29072970815808,32.33737702764532,6.419561275658452,293.06531079255313,7.999999940375308,6566.918646586424,5.239148069664861,True,500.0,500.0,6568.372873732543,1.2985237577950184,0.001068154809936,59.39229284152965,4.054533902448367,59.53052741358939,36.2632348318714,146.10673646149732,0.636,0.016,0.002,1
47283,150.1349070586344,2.36036375,3.7556398181133535,z_sys,3.755047066449709,-37.36668146117737,27.649845111477184,1,1,ok,5781.288657685861,5780.568067270919,5782.061,968.6197647411558,31.44824574563651,4.608156587137273,239.05095770556187,3.513997790106181,5779.063189566263,3.400003356450463,True,500.0,500.0,5780.568067270919,0.1620131397363999,0.0001332706571161,8.401296019928292,3.420962426976317,9.071094682630465,32.18016687247692,8.699128515379613,0.006,0.0,0.0,1
47549,150.09679965725107,2.360891763333333,3.231870179898798,z_sys,3.229536726961567,-165.30554150801535,2.7363052335471068,0,1,ok,5144.557621597572,5141.7209128653685,5140.061,78.51924551291286,31.146788924339507,3.5913578999570746,209.44058605985143,4.696269994560781,5140.656033488055,2.7833023724671544,True,500.0,500.0,5141.7209128653685,1.7854708486454187,0.0014687134244041,104.0460101283762,5.608117406042538,104.19704028653656,39.92487516742501,231.7626217774561,0.706,0.15,0.004,2
47664,150.13168715,2.361749794444445,3.519489986483696,z_sys,3.5205300351713102,68.98980934397245,7.114734180237074,1,0,skew_pinned,5494.208391868636,5495.472747856707,5498.061,285.5885820623399,36.76967627175751,6.0084772361824434,327.85940225571505,7.999999999999989,5494.111643829736,4.9036531566307255,True,500.0,500.0,5495.472747856707,0.6358800040901716,0.0005230695863928,34.696905508967546,3.778159502857944,34.90200196446126,35.92408139285894,58.15411121973152,0.566,0.0,0.0,1
47736,150.1378752941347,2.3609134666666667,2.9871504317981623,z_sys,2.988891209325457,130.88845847823333,1.2323928692941233,0,1,ok,4847.0591654240725,4849.175376440679,4853.061,99.45834144786934,2492.234213039436,1.6771230537042356,103.69566851714882,5.159797316806907,4848.696670057239,1.320239191291888,True,500.0,496.0,4849.175376440679,3.3393644001576246,0.0027469332961721,206.54096174899104,3.0562311613181663,206.5635723672245,56.31619445472224,647.9173553048189,0.5745967741935484,0.2862903225806452,0.0403225806451612,2
47750,150.12949332,2.3617853133333333,2.988601484137201,z_sys,2.993030282080602,332.8786359624846,3.676747004644051,0,0,skew_pinned,4848.823166221072,4854.207123016926,4858.061,221.38589072768835,55.90875456683528,8.39194713161578,518.4838737046257,7.999999984810043,4852.306090095274,6.848856444761432,True,500.0,500.0,4854.207123016926,1.6288157800307546,0.0013398502718918,100.70622697201162,0.9100769735407792,100.71033904736936,64.55482756281354,239.83117494503912,0.628,0.006,0.008,2
48086,150.08945162,2.3625202788888893,3.199436984326499,z_sys,3.215564659702124,1151.3342052113317,2.5776604371298752,0,1,ok,5105.129558736196,5124.735489860081,5125.061,107.71053805186057,46.324186414411294,8.489037574976464,496.60375643100303,0.0087499641218863,5124.708397186969,3.6114533257800607,True,500.0,500.0,5124.735489860081,2.5310914257964314,0.0020820546906614,148.6352327070192,2237.9708531530923,2242.90123990439,55.04606320255206,331.38959300738543,0.646,0.076,0.018,2
48121,150.0803971571723,2.36277555,4.517360727949767,z_sys,4.512353484193688,-272.07463630857853,2.8176163580689297,0,1,ok,6707.289916146694,6701.202760129741,6701.061,73.12954352962402,20.924089314583824,2.681751527194137,119.9738694481362,2.688484553167703e-06,6701.199901119585,1.1433181617537975,True,500.0,500.0,6701.202760129741,0.5037832092733487,0.0004144078650236,22.51735179116156,8.08990424036603,23.92650585240601,16.716624977693478,46.45593494398419,0.52,0.21,0.0,1
48146,150.07960361563778,2.3626120255555554,3.155380571338563,z_sys,3.1479778203897126,-534.0759684504299,3.510288148845932,0,0,dv_out_of_band;skew_pinned,5051.571499159151,5042.572196913163,5047.061,197.79765293473787,50.46500562140933,7.958293916607545,473.30800232179627,7.999999999999999,5040.7693997198085,6.4949423209214485,True,500.0,500.0,5042.572196913163,1.6663125725075678,0.0013706948205578,98.88961128066744,31.321415491445883,103.73131777640396,61.520649940060885,254.92368225011688,0.59,0.012,0.014,2
48256,150.12647973569204,2.3631503266666667,3.4844627131972983,z_sys,3.482516778479999,-130.08839393175188,3.021882429264516,0,0,skew_pinned,5451.62678655256,5449.261172094781,5451.061,154.81950163458134,47.23104954382612,16.119738196061917,887.4260786976225,7.999999999999999,5445.609557931999,13.15568021348024,True,500.0,500.0,5449.261172094781,3.604444169064629,0.0029649857025875,198.2133442870878,2.325996241527934,198.2269913810609,67.08693483059754,585.6904095717096,0.666,0.022,0.04,2
48525,150.08151033,2.363789453333333,3.93883538677916,z_sys,3.947868844476592,548.3403019671032,8.643515012449717,1,1,ok,6003.994014645822,6014.975718164859,6016.061,400.3527536896283,45.156873622989366,10.37633636940336,517.4727667915826,2.0137164537367456,6011.422406835787,6.671216903737324,True,500.0,500.0,6014.975718164859,1.0672542583393625,0.0008779144491016,53.2903225149865,5.76212602570363,53.60093814559003,44.4659137882525,74.37651492571524,0.232,0.0,0.0,1
48586,150.17813124,2.3638930733333336,3.4596043884078185,z_sys,3.473059699860332,904.5198950807865,3.709787012743332,0,1,ok,5421.407266855733,5437.7644853292095,5438.061,158.12387661799684,35.1680796316686,3.870088355369262,213.4010327557945,0.8774914110062132,5436.821395616348,1.954101430949996,True,500.0,500.0,5437.7644853292095,0.6845630996488048,0.0005631158946497,37.85490449213937,4.435683597811653,38.11389619402468,36.29394052833576,79.75743659756552,0.606,0.028,0.0,1
48648,150.0783225,2.36476518,3.418467433947656,z_sys,3.423889394967537,367.8793712140039,3.2680526920188497,0,1,ok,5371.398305427148,5377.989620780186,5377.061,233.7207668471392,66.28420796511149,5.479276755033425,305.43897375927605,0.0062050335717461,5377.983779333752,2.335994428931711,True,500.0,500.0,5377.989620780186,1.191361720012245,0.0009800042116793,66.49316213409654,5.448576695168861,66.71602205313494,70.43327725439987,132.18536031787892,0.678,0.026,0.0,1
