ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
48525,150.08151033,2.3637894533333332,3.93883538677916,z_sys,3.9478413358271736,546.6704982624484,8.643515012449717,1,1,ok,6003.994014645822,6014.942276725021,6016.061,400.4084596367991,45.15843042192157,10.377850902024875,517.548348107812,2.0143478248640716,6011.421816049254,6.672190636205298,True
48586,150.17813124,2.3638930733333336,3.4596043884078185,z_sys,3.47305972748443,904.5217520832664,3.709787012743332,0,1,ok,5421.407266855733,5437.764518910998,5438.061,158.11582953297227,35.16602238059245,3.869696738307539,213.37943348632083,0.877605359321242,5436.8215246300715,1.9539036940018368,True
48648,150.0783225,2.36476518,3.418467433947656,z_sys,3.4238902910680524,367.94017152094136,3.2680526920188497,0,1,ok,5371.3983054271475,5377.9907101427,5377.061,233.82258734212613,66.28045186933333,5.4900759800193555,306.0409079894003,0.005483268603120168,5377.984869636338,2.335618494052838,True
48688,150.127787618539,2.3651850855555554,4.388786720901873,z_sys,4.3889290850302425,7.920092997814906,10.6086511999784,1,1,ok,6550.986352998781,6551.1594207987155,6553.061,317.27188906648666,25.738030400138154,5.3607640246173105,245.37687963315594,4.826890811156879,6549.584565997709,4.1707578471682645,True
48744,150.178434128542,2.364869268888889,3.4573448216184914,z_sys,3.4640468892232557,450.7682042388797,3.336748447515665,0,1,ok,5418.660379296952,5426.807881822036,5426.061,130.9327245118836,32.0635153107126,3.6404661021479114,201.10994965388034,0.0006583801627045278,5426.804008985757,1.548747227924529,True
49289,150.13005719849852,2.3672327033333334,3.7572416830020936,z_sys,3.7558068816715613,-90.41849169843032,10.125691689795202,1,1,ok,5783.235996775155,5781.491751841668,5784.061,437.6379835761652,40.993273017048374,8.5048208260514,441.14501877890103,8.883291541562244,5779.689289814747,6.9981025685969005,True
49296,150.13005719849852,2.3672327033333334,3.7572416830020936,z_sys,3.7558068816715613,-90.41849169843032,10.125691689795202,1,1,ok,5783.235996775155,5781.491751841668,5784.061,437.6379835761652,40.993273017048374,8.5048208260514,441.14501877890103,8.883291541562244,5779.689289814747,6.9981025685969005,True
49482,150.07954806302885,2.367766382222222,3.4199192904280213,z_sys,3.4207564279535525,56.78101792639777,12.481498110434394,1,1,ok,5373.163283794633,5374.1809667702955,5375.061,904.99455436459,68.80725133908535,6.033042454017959,336.67064341357747,3.4416113274144484,5372.195829639286,4.434951612797109,True
49540,150.11122932302013,2.3675214544444447,3.5651,z_dja,3.5659463114137395,55.5777045318567,11.427374662205755,1,1,ok,5549.655117,5550.683952396341,5552.061,471.77683723848565,38.44068341141601,6.259748364102052,338.20565235841366,4.387098147932993,5548.769913954241,4.81398725154636,True
49694,150.07954806302885,2.367766382222222,3.4199192904280213,z_sys,3.4207564279535525,56.78101792639777,12.481498110434394,1,1,ok,5373.163283794633,5374.1809667702955,5375.061,904.99455436459,68.80725133908535,6.033042454017959,336.67064341357747,3.4416113274144484,5372.195829639286,4.434951612797109,True
49726,150.17380696303826,2.3679732244444445,3.1711728991265264,z_sys,3.1744281697513363,233.96430828156707,30.55899995568666,1,1,ok,5070.769758281144,5074.727093121607,5077.061,1577.7214302169937,48.19939673361164,7.477855465889661,441.92928142879623,6.232296230662162,5072.767894989544,5.980788801618146,True
49902,150.14021900153563,2.3688509,2.9618321363582,z_sys,2.9617490985415595,-6.283484585115279,31.3322952526851,1,1,ok,4816.280473206573,4816.179526624018,4816.061,1364.2611003785896,41.40381822806793,6.067961659403409,377.71257676461266,0.0030242145280858323,4816.173071345656,2.5814658165911952,True
49939,150.15172124458957,2.368674411111111,3.750372266997093,z_sys,3.752598534186408,140.4980652750789,3.2232118151009748,0,1,ok,5774.885053820357,5777.591460054391,5777.061,173.3752871912906,53.82538111067807,9.308558772035212,483.01104657957086,0.0026933256491582878,5777.581557332293,3.960098566954278,True
