ID,dx_arcsec,dy_arcsec,lya_wave_centre,peak_snr
47549,-0.20000000000000007,0.09999999999999987,5144.259563750001,3.452806492037845
47664,-1.1102230246251565e-16,-0.20000000000000007,5492.518627000001,7.1200695927756374
47750,-1.1102230246251565e-16,0.2999999999999998,4847.200468666667,4.189542659330221
48086,0.19999999999999984,-0.4,5057.308767,3.6770891575411175
48121,-0.20000000000000007,-1.1102230246251565e-16,6701.320091500001,2.7960255869796713
48256,0.3999999999999998,-0.30000000000000004,5450.0309605,2.9460333239205707
48586,-1.1102230246251565e-16,0.2999999999999998,5419.943128000001,3.4271098781487837
48688,-0.10000000000000009,0.19999999999999984,6549.2397745,10.875561440780427
48744,-0.10000000000000009,-0.4,5417.268654,3.2622426323606852
49289,-0.10000000000000009,0.2999999999999998,5781.726520000001,10.002094682769755
49296,-0.10000000000000009,0.2999999999999998,5781.726520000001,10.002094682769755
49726,0.19999999999999984,-0.20000000000000007,5069.222333000001,30.26586177086686
49902,0.09999999999999987,-1.1102230246251565e-16,4815.066258333333,31.376746414375965
49939,0.2999999999999998,0.3999999999999998,5772.973696000001,3.1662558640708838
50751,0.2999999999999998,0.3999999999999998,5055.910746500001,3.586239738413052
50966,-0.10000000000000009,-1.1102230246251565e-16,5730.830469333333,6.381625328844175
50970,-0.20000000000000007,0.09999999999999987,4941.212282,12.998260100276863
51240,-0.30000000000000004,0.2999999999999998,5735.166359,3.0605311967334843
51579,-1.1102230246251565e-16,-0.10000000000000009,6711.653286499999,28.157382854579758
53947,0.09999999999999987,-0.10000000000000009,5512.131436333333,6.903355486528861
58782,-0.10000000000000009,-1.1102230246251565e-16,7210.260337000001,27.608060018671836
59457,-0.4,0.19999999999999984,4851.455313666666,3.462661149810295
15748,0.09999999999999987,0.09999999999999987,7926.350750500001,3.5669302354450965
16853,-1.1102230246251565e-16,-0.10000000000000009,8339.5569835,3.3106611302743634
17086,-0.20000000000000007,-0.4,7906.292195500001,4.016327249960744
18866,-0.30000000000000004,0.3999999999999998,5162.707356000001,2.4282028617500533
28600,-0.30000000000000004,-0.20000000000000007,5453.738754000001,3.293573728087618
42812,-0.30000000000000004,-0.4,4851.009568,3.3499177378709923
42990,0.09999999999999987,-0.10000000000000009,5494.706833,2.7758893926091344
43129,0.09999999999999987,-0.10000000000000009,5494.706833,2.7758893926091344
43683,-1.1102230246251565e-16,0.09999999999999987,5500.785183000001,13.254081069928528
44361,-1.1102230246251565e-16,0.09999999999999987,7453.029636,15.19507787949546
45004,-0.20000000000000007,0.3999999999999998,7601.341376,5.901366432585133
45443,-0.4,-0.30000000000000004,5263.972667,4.749305166072034
46091,-0.20000000000000007,-1.1102230246251565e-16,5091.225960000001,4.078256499450081
47736,0.2999999999999998,0.19999999999999984,4845.4782695,2.1842499534165705
48146,-1.1102230246251565e-16,0.3999999999999998,5051.351984,4.7683486943778295
48525,-1.1102230246251565e-16,0.2999999999999998,6002.249058,8.643948539983903
48648,0.19999999999999984,-0.20000000000000007,5369.61439,3.7935188655562984
49482,0.19999999999999984,-0.10000000000000009,5371.073194000001,12.485000813959717
49540,0.19999999999999984,-0.20000000000000007,5549.655117,11.614866716872458
49694,0.19999999999999984,-0.10000000000000009,5371.073194000001,12.485000813959717
50654,-0.30000000000000004,-0.20000000000000007,5424.441107,4.016708115212017
54193,0.2999999999999998,0.19999999999999984,5512.455615,3.181515183708446
54521,0.2999999999999998,-1.1102230246251565e-16,5368.884988,4.289548750659112
55418,-0.4,-0.4,5883.234965000001,0.0
56591,0.2999999999999998,-1.1102230246251565e-16,5777.593242000001,2.62913616408003
57111,-0.20000000000000007,-0.4,5783.671592000001,2.4637308738379944
57248,0.19999999999999984,0.19999999999999984,5739.6643380000005,6.6895450653149116
59737,-1.1102230246251565e-16,-0.20000000000000007,5369.249689000001,15.11413958325618
15479,0.3999999999999998,-0.10000000000000009,7425.0692260000005,3.3331452278925866
17074,0.09999999999999987,0.19999999999999984,7905.988278000001,5.1724305937594846
45547,-1.1102230246251565e-16,-0.20000000000000007,6662.479435,15.936902509821659
46008,-1.1102230246251565e-16,0.19999999999999984,6575.315896000001,3.517961900685149
