ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,_grade,n_criteria_failed,tier,skew_pinned,dv_out_of_band,pass_grade_a,pass_fwhm>100,pass_dv_err<120,pass_snr>2,pass_not_pinned_or_oob
35799,150.15708537876117,2.3227015644444444,3.1854478218927573,z_sys,3.186749540122716,93.2386029856238,6.942294940848331,1,1,ok,5088.123353640369,5088.287466417788,5089.705813440982,5088.061,812.0681626624921,99.8990328876841,18.887219014814946,1112.8219243601973,0.0183051165436059,5088.18678827805,8.052237616230924,True,500.0,500.0,5088.287438132003,1.7530252335114604,0.0014424075834887,103.31580592883044,23.494668127483543,105.95355201759094,100.97256903128176,180.2236878854648,0.478,0.0,0.042,a,0,gold,False,False,True,True,True,True,True
38195,150.17782381,2.330552507777778,3.182307796631096,z_sys,3.187040591587282,339.25198768677313,3.580981185347554,0,1,ok,5084.306119130525,5088.641194840284,5090.059635974912,5093.061,214.913098052704,156.74590670446318,6.011261548563198,354.2101721309696,14.851678359917658,5087.744557088292,5.050217422836935,True,500.0,496.0,5088.64119498408,1.4111055102918535,0.0011610724535622,83.22696025622548,21.29800240303964,85.90885763325699,61.93029797641063,189.6266974795353,0.5665322580645161,0.0100806451612903,0.002016129032258,a,0,gold,False,False,True,True,True,True,True
41512,150.18109583900358,2.341806872222222,2.970282869536842,z_sys,2.9696831472069185,-45.28448911910336,6.465591431622585,1,1,ok,4826.553776009853,4824.476447113694,4825.824711565035,4825.061,448.48416343751614,66.24609232786509,11.09202450949033,689.2589199308846,0.0006709262157315,4824.4646470876205,4.718830426963135,True,500.0,500.0,4824.478408823588,1.315584526611877,0.001082475878548,81.73677166571704,365.0646234854021,374.1030328169928,68.91865388857926,137.1479163087765,0.52,0.0,0.0,c,2,bronze,False,False,False,True,False,True,True
42751,150.13917181,2.345338637777778,3.184537811382972,z_sys,3.187088892209802,182.7668493164608,32.317050450093795,1,1,ok,5087.017081163938,5088.699896840032,5090.11835359269,5091.061,1667.0815089570106,48.296632041222345,7.897813087721261,465.4760591219567,6.159191573606827,5086.630669811049,6.316670907558952,True,500.0,500.0,5088.6998968400185,0.2589889798486183,0.0002130988553292,15.26702171560325,1.3135915651136942,15.323428952575824,48.99986123600942,15.82361454952766,0.002,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
42812,150.07946153679046,2.345420498888889,2.9904,z_dja,2.997092703967452,502.8122927697798,3.05400755135056,0,0,narrow_fwhm;skew_pinned,4851.009568,4857.788585762144,4859.145687432112,4855.061,95.71695858676732,15767.487724603789,1.1902975743932984,73.46043817409466,14.999999869487,4857.611041376048,1.0000000000000002,True,500.0,499.0,4857.788585739745,1.3952253608837888,0.0011480052645254,86.24782479175651,,86.24782479175651,37.59507187818071,297.8520769333114,0.6472945891783567,0.6192384769539078,0.0,d,3,bronze,True,False,False,False,True,True,False
42990,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.529367684151726,546.7724335571932,2.0551295140717163,0,1,ok,5496.192256430179,5504.687053722814,5506.216412592729,5507.061,102.9038339143951,219.9767549154939,3.7276250879831423,203.0351129429313,11.98483202694828,5504.042485218017,3.1055776514262075,True,500.0,499.0,5504.687053780524,1.3229824388422915,0.0010885649964499,72.1819900942558,7.945882451936664,72.61801940226157,42.519575355257366,225.16514083395973,0.6232464929859719,0.0981963927855711,0.0040080160320641,a,0,gold,False,False,True,True,True,True,True
43713,150.1036425266078,2.3485374544444446,3.0026473378211547,z_sys,3.0073056238007423,348.8988376996776,3.766799288729469,0,1,ok,4865.898289169043,4870.200832274043,4871.561227685849,4870.061,182.1494477376193,48.2607712869229,6.594737935320154,406.0705734094443,0.7620797370373823,4868.741605420384,3.224004523636564,True,500.0,498.0,4870.200840137744,1.3536357860428507,0.0011137850017264,83.42087502839294,11.723824956153118,84.24066988162708,56.47835779438044,186.74458964381404,0.6164658634538153,0.0120481927710843,0.0,a,0,gold,False,False,True,True,True,True,True
43683,150.08969066,2.348563267777778,3.52606261544765,z_sys,3.527919985348918,123.02646592112214,13.16987088522881,1,1,ok,5502.198539721245,5502.92759966114,5504.45648858912,5504.061,479.8102974071159,36.251086163528704,8.599474306100092,468.7373081572943,2.949665018811347,5500.005002521522,6.119092126351859,True,500.0,500.0,5502.927599671316,0.7177352339080523,0.0005905607079397,39.11692375337688,3.5025878233809635,39.273424161740685,34.83849124408345,43.84098639644901,0.038,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
44361,150.07672123,2.350948707777778,5.132260396411653,z_sys,5.13280907709713,26.82376819036484,15.347033798550598,1,1,ok,7454.804996105755,7453.419169021442,7455.472010754669,7455.061,398.73768641977176,23.95467780322326,4.422213796075994,177.89928068372922,5.8758033530639,7452.229928259549,3.522795412451438,True,500.0,500.0,7453.419169022456,0.2315837808878753,0.0001905502689204,9.315575301668492,4.635471879154642,10.405169039640322,24.25637795753428,13.809078966989162,0.082,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
44980,150.07847712879428,2.352441203333333,5.256126889924292,z_sys,5.258310375201202,104.63221569660192,6.142586581025192,1,0,skew_pinned,7605.385776274264,7605.946182086006,7608.040173820846,7610.061,423.1941738038767,64.13751062991217,8.364110048471957,329.7299793462269,14.99999582089405,7604.698594242642,7.026906740302919,True,500.0,498.0,7605.9461820335855,1.2571209804160477,0.0010343762805598,49.5671224548482,7.715813116544701,50.16406483234149,60.18379511574621,70.61339258526682,0.4939759036144578,0.0,0.0,a,1,silver,True,False,True,True,True,True,False
45004,150.07851878758936,2.352448581111111,5.254917580157724,z_sys,5.258454270835219,169.51033771494764,5.957940172988147,1,0,skew_pinned,7603.915654670342,7606.121064499781,7608.215103426251,7610.061,451.41834080549216,62.954456017086144,9.909692839290074,390.66280935456894,14.999999645008367,7604.642938046862,8.325391105949947,True,500.0,499.0,7606.121266559489,1.588211677774191,0.0013068022205887,62.63383087140047,5.962450940646034,62.91698968360461,66.7601862981924,80.4393897657886,0.6072144288577155,0.0,0.0,a,1,silver,True,False,True,True,True,True,False
45443,150.1217307550671,2.3536541466666665,3.3314385002049782,z_sys,3.33134777104721,-6.279649871117344,4.705459261184913,0,1,ok,5265.599841544186,5264.024399644316,5265.489544828963,5266.061,203.1370091353036,40.52014183633752,7.828048978075458,445.9791568528152,7.044398317628031,5262.107003032277,6.336916571523549,True,500.0,499.0,5264.024399597453,1.3704077117813238,0.0011275864071549,78.04379551790346,4.030078043049315,78.14778018519398,44.59848556706,146.14103284723092,0.4929859719438877,0.002004008016032,0.0,a,0,gold,False,False,True,True,True,True,True
