ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
35799,150.15708537876117,2.3227015644444444,3.1854478218927573,z_sys,3.1867495401227153,93.23860298562381,6.942294940848331,1,1,ok,5088.123353640369,5088.287466417788,5089.705813440982,5088.061,812.0681626624921,99.8990328876841,18.887219014814946,1112.8219243601973,0.01830511654360596,5088.18678827805,8.052237616230924,True
38195,150.17782381,2.330552507777778,3.182307796631096,z_sys,3.187040591587282,339.25198768677313,3.580981185347554,0,1,ok,5084.306119130525,5088.641194840284,5090.0596359749115,5093.061,214.91309805270402,156.74590670446318,6.011261548563198,354.21017213096957,14.851678359917658,5087.744557088292,5.050217422836935,True
41512,150.18109583900358,2.341806872222222,2.970282869536842,z_sys,2.9696831472069185,-45.284489119103355,6.465591431622585,1,1,ok,4826.553776009853,4824.476447113694,4825.824711565035,4825.061,448.48416343751614,66.24609232786509,11.09202450949033,689.2589199308846,0.0006709262157315439,4824.4646470876205,4.718830426963135,True
42751,150.13917181,2.345338637777778,3.184537811382972,z_sys,3.187088892209802,182.7668493164608,32.317050450093795,1,1,ok,5087.017081163938,5088.699896840032,5090.11835359269,5091.061,1667.0815089570106,48.296632041222345,7.897813087721261,465.4760591219567,6.159191573606827,5086.630669811049,6.316670907558952,True
42812,150.07946153679046,2.345420498888889,2.9904,z_dja,2.9970927039674513,502.8122927697798,3.05400755135056,0,0,narrow_fwhm;skew_pinned,4851.009568,4857.788585762144,4859.145687432112,4855.061,95.71695858676732,15767.487724603789,1.1902975743932984,73.46043817409466,14.999999869486999,4857.611041376048,1.0000000000000002,True
42990,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.529367684151726,546.7724335571932,2.0551295140717163,0,1,ok,5496.192256430179,5504.687053722814,5506.216412592729,5507.061,102.9038339143951,219.9767549154939,3.7276250879831423,203.0351129429313,11.98483202694828,5504.042485218017,3.1055776514262075,True
43129,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.529367684151726,546.7724335571932,2.0551295140717163,0,1,ok,5496.192256430179,5504.687053722814,5506.216412592729,5507.061,102.9038339143951,219.9767549154939,3.7276250879831423,203.0351129429313,11.98483202694828,5504.042485218017,3.1055776514262075,True
43604,150.10364252660779,2.3485374544444446,3.0026473378211547,z_sys,3.0073056238007423,348.8988376996776,3.766799288729469,0,1,ok,4865.898289169043,4870.200832274043,4871.561227685849,4870.061,182.14944773761934,48.2607712869229,6.594737935320154,406.0705734094443,0.7620797370373823,4868.741605420384,3.2240045236365633,True
43683,150.08969066,2.348563267777778,3.52606261544765,z_sys,3.527919985348918,123.02646592112214,13.16987088522881,1,1,ok,5502.198539721245,5502.92759966114,5504.4564885891195,5504.061,479.81029740711585,36.251086163528704,8.599474306100092,468.73730815729425,2.949665018811347,5500.005002521522,6.119092126351859,True
43713,150.10364252660779,2.3485374544444446,3.0026473378211547,z_sys,3.0073056238007423,348.8988376996776,3.766799288729469,0,1,ok,4865.898289169043,4870.200832274043,4871.561227685849,4870.061,182.14944773761934,48.2607712869229,6.594737935320154,406.0705734094443,0.7620797370373823,4868.741605420384,3.2240045236365633,True
