ID,ra,dec,peak_snr,best_center,lya_obs
47137,150.13685254,2.35927325,61.37322038770971,6130.061,6125.031728000001
47218,150.12884485728088,2.360174831111111,3.4520984384402054,6570.061,6554.514239069055
47283,150.1349070586344,2.36036375,27.649845111477184,5782.061,5781.288657685861
47549,150.09679965725107,2.3608917633333335,2.7363052335471068,5140.061,5144.557621597572
47664,150.13168715,2.3617497944444446,7.114734180237074,5498.061,5494.208391868636
47736,150.1378752941347,2.3609134666666667,1.2323928692941233,4853.061,4847.0591654240725
47750,150.12949332,2.3617853133333333,3.676747004644051,4858.061,4848.823166221072
48086,150.08945162,2.3625202788888893,2.5776604371298752,5125.061,5105.129558736196
48121,150.0803971571723,2.36277555,2.8176163580689297,6701.061,6707.289916146694
48146,150.07960361563778,2.3626120255555554,3.510288148845932,5047.061,5051.571499159151
48256,150.12647973569204,2.3631503266666667,3.021882429264516,5451.061,5451.62678655256
48525,150.08151033,2.3637894533333332,8.643515012449717,6016.061,6003.994014645822
48586,150.17813124,2.3638930733333336,3.709787012743332,5438.061,5421.407266855733
48648,150.0783225,2.36476518,3.2680526920188497,5377.061,5371.3983054271475
48688,150.127787618539,2.3651850855555554,10.6086511999784,6553.061,6550.986352998781
48744,150.178434128542,2.364869268888889,3.3367484475156655,5426.061,5418.660379296952
49289,150.13005719849852,2.3672327033333334,10.125691689795202,5784.061,5783.235996775155
49296,150.13005719849852,2.3672327033333334,10.125691689795202,5784.061,5783.235996775155
49482,150.07954806302885,2.367766382222222,12.481498110434394,5375.061,5373.163283794633
49540,150.11122932302013,2.3675214544444447,11.427374662205757,5552.061,5549.655117
49694,150.07954806302885,2.367766382222222,12.481498110434394,5375.061,5373.163283794633
49726,150.17380696303826,2.3679732244444445,30.55899995568666,5077.061,5070.769758281144
49902,150.14021900153563,2.3688509,31.3322952526851,4816.061,4816.280473206573
49939,150.15172124458957,2.368674411111111,3.2232118151009748,5777.061,5774.885053820357
50654,150.11921915524886,2.3711898644444447,4.258685466026151,5423.061,5426.379303560718
50751,150.13823243,2.371613331111111,2.8175879196791813,5075.061,5057.17804438032
50966,150.13745461840568,2.37177286,6.153353232639944,5736.061,5732.803306156774
50970,150.18688489679192,2.372284317777778,13.131078957546373,4942.061,4942.319023854276
51240,150.11922476516514,2.3727172733333335,3.022674228561452,5755.061,5736.747464541899
51579,150.10867511,2.374358382222222,29.051020322992983,6718.061,6713.047068948882
